CoechoagravadoporlacalidaddelautorArt257;Cohecho agravado por la calidad del autor - Art.257
CohechopasivoArt256;Cohecho pasivo - Art.256
Comisióndedelitodeacciónpública;Comisión de delito de acción pública
CompulsiónalahuelgaArt158;Compulsión a la huelga - Art.158
ConcurrenciadeslealArt159;Concurrencia desleal - Art.159
CorrupcióndeMenoresAgravada(menorde13años)Art125párr2do;Corrupción de Menores Agravada (menor de 13 años) - Art.125 párr. 2do
CorrupcióndeMenoresAgravada(porelmediooporelvínculo)Art125párr3ro;Corrupción de Menores Agravada (por el medio o por el vínculo) - Art.125 párr. 3ro
CorrupcióndeMenoresde18añosArt125párr1ro;Corrupción de Menores de 18 años - Art.125 párr. 1ro
DañoArt183;Daño - Art.183
DañoagravadoporelfindeimpedirellibreejerciciodelaautoridadArt184Inc1º;Daño agravado por el fin de impedir el libre ejercicio de la autoridad - Art.184 Inc.1º
DañoagravadoporelempleodesustanciasvenenosasocorrosivasArt184Inc3º;Daño agravado por el empleo de sustancias venenosas o corrosivas - Art.184 Inc.3º
Dañoagravadoporserejecutadosencosasdevalorcientífico,culturaloenbienesdeusopúblicoArt184Inc5º;Daño agravado por ser ejecutados en cosas de valor científico, cultural o en bienes de uso público - Art.184 Inc.5º
DañoagravadoporsucomisiónendespobladoyenbandaArt184Inc4º;Daño agravado por su comisión en despoblado y en banda - Art.184 Inc.4º
DañoAgravadoporsucomisiónensistemasInformáticosArt184Inc6º;Daño Agravado por su comisión en sistemas Informáticos - Art.184 Inc.6º
DañoagravadoporelfindeproducirinfecciónocontagioenanimalesdomésticosArt184Inc2º;Daño agravado por el fin de producir infección o contagio en animales domésticos - Art.184 Inc.2º
DañoInformáticoArt183infine;Daño Informático - Art.183 in fine
DefraudaciónHurtoimpropioArt173Inc5º;Defraudación - Hurto impropio - Art.173 Inc.5º
Defraudaciónenlasustancia,calidadocantidaddelascosasArt173Inc1º;Defraudación en la sustancia, calidad o cantidad de las cosas - Art.173 Inc.1º
DefraudaciónInformáticaArt173Inc16º;Defraudación Informática - Art.173 Inc.16º
DefraudaciónporabusodefirmaenblancoArt173Inc4º;Defraudación por abuso de firma en blanco - Art.173 Inc.4º
DefraudaciónporadministraciónfraudulentaArt173Inc7º;Defraudación por administración fraudulenta - Art.173 Inc.7º
DefraudaciónporautorcalificadoArt173Inc12º;Defraudación por autor calificado - Art.173 Inc.12º
DefraudaciónporcontratosimuladoofalsosrecibosArt173Inc6º;Defraudación por contrato simulado o falsos recibos - Art.173 Inc.6º
DefraudaciónpordesbaratamientodederechosacordadosArt173Inc11º;Defraudación por desbaratamiento de derechos acordados - Art.173 Inc.11º
DefraudaciónporejecuciónextrajudicialdeinmueblesArt173Inc13º;Defraudación por ejecución extrajudicial de inmuebles - Art.173 Inc.13º
DefraudaciónporretenciónindebidaArt173Inc2º;Defraudación por retención indebida - Art.173 Inc.2º
DesapariciónforzadadepersonaArt142terIncterpárr1ro;Desaparición forzada de persona - Art.142 ter Inc.ter párr. 1ro
DefraudaciónporsuscripciónengañosadedocumentoArt173Inc3º;Defraudación por suscripción engañosa de documento - Art.173 Inc.3º
Defraudaciónporusoilícitodetarjetasdecompra,débitoocréditoArt173Inc15º;Defraudación por uso ilícito de tarjetas de compra, débito o crédito - Art.173 Inc.15º
Denuncia;Denuncia
Descarrilamiento,naufragiooaccidenteculposoArt196;Descarrilamiento, naufragio o accidente culposo - Art.196
DesaparicióndemenordediezañosArt147;Desaparición de menor de diez años - Art.147
DesobedienciaArt239;Desobediencia - Art.239
DestrucciónoalteracióndetérminosolímitesArt181Inc2º;Destrucción o alteración de términos o límites - Art.181 Inc.2º
DisparodearmadefuegoArt104;Disparo de arma de fuego - Art.104
